type,Nombre,D1,D,Api_max,z
ES1,Fresas de mango Screw-On • Mill 4-11™,16,13.0,11.0,2
ES1,Fresas de mango Screw-On • Mill 4-11™,20,18.0,11.0,3
ES1,Fresas de mango Screw-On • Mill 4-11™,25,21.0,11.0,4
ES1,Fresas de mango Screw-On • Mill 4-11™,32,29.0,11.0,5
ES1,Fresas de mango Screw-On • Mill 4-11™,32,29.0,11.0,6
ES1,Fresas de mango Weldon® • Mill 4-11™,16,16.0,11.0,2
ES1,Fresas de mango Weldon® • Mill 4-11™,20,20.0,11.0,2
ES1,Fresas de mango Weldon® • Mill 4-11™,20,20.0,11.0,3
ES1,Fresas de mango Weldon® • Mill 4-11™,25,25.0,11.0,3
ES1,Fresas de mango Weldon® • Mill 4-11™,32,32.0,11.0,4
ES1,Fresas de mango Weldon® • Mill 4-11™,40,32.0,11.0,5
ES1,Fresas de mango cilíndrico • Mill 4-11™,16,16.0,11.0,2
ES1,Fresas de mango cilíndrico • Mill 4-11™,16,16.0,11.0,2
ES1,Fresas de mango cilíndrico • Mill 4-11™,20,20.0,11.0,2
ES1,Fresas de mango cilíndrico • Mill 4-11™,20,20.0,11.0,3
ES1,Fresas de mango cilíndrico • Mill 4-11™,20,20.0,11.0,3
ES1,Fresas de mango cilíndrico • Mill 4-11™,25,25.0,11.0,3
ES1,Fresas de mango cilíndrico • Mill 4-11™,25,25.0,11.0,4
ES1,Fresas de mango cilíndrico • Mill 4-11™,25,25.0,11.0,4
ES1,Fresas de mango cilíndrico • Mill 4-11™,32,32.0,11.0,4
ES1,Fresas de mango cilíndrico • Mill 4-11™,32,32.0,11.0,5
ES1,Fresas de mango cilíndrico • Mill 4-11™,32,32.0,11.0,5
ES1,Fresas de mango cilíndrico • Mill 4-11™,40,32.0,11.0,5
ES1,Fresas de plato • Mill 4-11™,40,16.0,11.0,4
ES1,Fresas de plato • Mill 4-11™,40,16.0,11.0,6
ES1,Fresas de plato • Mill 4-11™,40,16.0,11.0,7
ES1,Fresas de plato • Mill 4-11™,50,22.0,11.0,5
ES1,Fresas de plato • Mill 4-11™,50,22.0,11.0,7
ES1,Fresas de plato • Mill 4-11™,50,22.0,11.0,9
ES1,Fresas de plato • Mill 4-11™,63,22.0,11.0,6
ES1,Fresas de plato • Mill 4-11™,63,22.0,11.0,9
ES1,Fresas de plato • Mill 4-11™,80,27.0,11.0,8
ES1,Fresas de plato • Mill 4-11™,80,27.0,11.0,10
ES2,Fresas de mango Screw-On • Mill 4-15™,25,21.0,15.5,2
ES2,Fresas de mango Screw-On • Mill 4-15™,32,29.0,15.5,3
ES2,Fresas de mango Screw-On • Mill 4-15™,32,29.0,15.5,4
ES2,Fresas de mango Screw-On • Mill 4-15™,35,29.0,15.5,4
ES2,Fresas de mango Screw-On • Mill 4-15™,40,29.0,15.5,5
ES2,Fresas de mango Weldon® • Mill 4-15™,25,25.0,15.5,2
ES2,Fresas de mango Weldon® • Mill 4-15™,32,32.0,15.5,3
ES2,Fresas de mango Weldon® • Mill 4-15™,40,32.0,15.5,3
ES2,Fresas de mango Weldon® • Mill 4-15™,40,32.0,15.5,4
ES2,Fresas de mango cilíndricas • Mill 4-15™,25,25.0,15.5,2
ES2,Fresas de mango cilíndricas • Mill 4-15™,25,25.0,15.5,2
