type,Nombre,D1,D,Api_max,z
PL1,Dodeka Mini de alto avance 15° - Fresas de mango Screw-On,25,29,1.6,3
PL1,Dodeka Mini de alto avance 15° - Fresas de mango Screw-On,32,29,1.6,4
PL1,Dodeka Mini de alto avance 15° - Fresas de mango cilíndricas,25,20,1.6,3
PL1,Dodeka Mini de alto avance 15° - Fresas de mango cilíndricas,32,25,1.6,3
PL1,Dodeka Mini de alto avance 15° - Fresas de plato,40,22,1.6,5
PL1,Dodeka Mini de alto avance 15° - Fresas de plato,50,22,1.6,5
PL1,Dodeka Mini de alto avance 15° - Fresas de plato,63,22,1.6,6
PL1,Dodeka Mini de alto avance 15° - Fresas de plato,80,27,1.6,8
PL2,Dodeka Mini 45° - Fresas de mango Screw-On,25,29,3.2,3
PL2,Dodeka Mini 45° - Fresas de mango Screw-On,32,29,3.2,3
PL2,Dodeka Mini 45° - Fresas de mango Screw-On,32,29,3.2,4
PL2,Dodeka Mini 45° - Fresas de mango Weldon,25,20,3.2,3
PL2,Dodeka Mini 45° - Fresas de mango Weldon,32,25,3.2,3
PL2,Dodeka Mini 45° - Fresas de mango Weldon,32,25,3.2,4
PL2,Dodeka Mini 45° • Fresas de mango cilíndrico,25,20,3.2,2
PL2,Dodeka Mini 45° • Fresas de mango cilíndrico,25,20,3.2,3
PL2,Dodeka Mini 45° • Fresas de mango cilíndrico,25,25,3.2,3
PL2,Dodeka Mini 45° • Fresas de mango cilíndrico,32,25,3.2,3
PL2,Dodeka Mini 45° • Fresas de mango cilíndrico,32,25,3.2,4
PL2,Dodeka Mini 45° • Fresas de plato,40,22,3.2,4
PL2,Dodeka Mini 45° • Fresas de plato,40,22,3.2,5
PL2,Dodeka Mini 45° • Fresas de plato,50,22,3.2,4
PL2,Dodeka Mini 45° • Fresas de plato,50,22,3.2,5
PL2,Dodeka Mini 45° • Fresas de plato,50,22,3.2,6
PL2,Dodeka Mini 45° • Fresas de plato,63,22,3.2,4
PL2,Dodeka Mini 45° • Fresas de plato,63,22,3.2,6
PL2,Dodeka Mini 45° • Fresas de plato,63,22,3.2,8
PL2,Dodeka Mini 45° • Fresas de plato,80,27,3.2,5
PL2,Dodeka Mini 45° • Fresas de plato,80,27,3.2,8
PL2,Dodeka Mini 45° • Fresas de plato,80,27,3.2,10
PL2,Dodeka Mini 45° • Fresas de plato,100,32,3.2,6
PL2,Dodeka Mini 45° • Fresas de plato,100,32,3.2,9
PL2,Dodeka Mini 45° • Fresas de plato,100,32,3.2,12
PL2,Dodeka Mini 45° • Fresas de plato,125,40,3.2,8
PL2,Dodeka Mini 45° • Fresas de plato,125,40,3.2,12
PL2,Dodeka Mini 45° • Fresas de plato,125,40,3.2,16
PL3,Dodeka Mini 60° • Fresas de plato,40,22,4.3,4
PL3,Dodeka Mini 60° • Fresas de plato,40,22,4.3,5
PL3,Dodeka Mini 60° • Fresas de plato,50,22,4.3,4
PL3,Dodeka Mini 60° • Fresas de plato,50,22,4.3,5
PL3,Dodeka Mini 60° • Fresas de plato,63,22,4.3,4
PL3,Dodeka Mini 60° • Fresas de plato,63,22,4.3,6
PL3,Dodeka Mini 60° • Fresas de plato,80,27,4.3,5
PL3,Dodeka Mini 60° • Fresas de plato,80,27,4.3,8
PL3,Dodeka Mini 60° • Fresas de plato,100,32,4.3,6
PL3,Dodeka Mini 60° • Fresas de plato,100,32,4.3,9
PL3,Dodeka Mini 60° • Fresas de plato,125,40,4.3,8
PL3,Dodeka Mini 60° • Fresas de plato,125,40,4.3,12
PL4,Dodeka alto avance 15° • Fresas de plato,50,22,2.2,4
PL4,Dodeka alto avance 15° • Fresas de plato,63,22,2.2,5
PL4,Dodeka alto avance 15° • Fresas de plato,80,27,2.2,6
PL4,Dodeka alto avance 15° • Fresas de plato,100,32,2.2,8
PL4,Dodeka alto avance 15° • Fresas de plato,125,40,2.2,9
PL4,Dodeka alto avance 15° • Fresas de plato,160,40,2.2,12
PL5,Dodeka 45° • Fresas de mango Weldon,40,25,4.5,3
PL5,Dodeka 45° • Fresas de mango Weldon,40,25,4.5,4
PL5,Dodeka 45° • Fresas de mango cilíndrico,40,25,4.5,3
PL5,Dodeka 45° • Fresas de mango cilíndrico,40,25,4.5,4
PL5,Dodeka 45° • Fresas de plato,40,22,4.5,4
PL5,Dodeka 45° • Fresas de plato,50,22,4.5,4
PL5,Dodeka 45° • Fresas de plato,50,22,4.5,5
PL5,Dodeka 45° • Fresas de plato,63,22,4.5,5
PL5,Dodeka 45° • Fresas de plato,63,22,4.5,6
PL5,Dodeka 45° • Fresas de plato,63,22,4.5,7
PL5,Dodeka 45° • Fresas de plato,80,27,4.5,5
PL5,Dodeka 45° • Fresas de plato,80,27,4.5,6
PL5,Dodeka 45° • Fresas de plato,80,27,4.5,9
PL5,Dodeka 45° • Fresas de plato,100,32,4.5,6
PL5,Dodeka 45° • Fresas de plato,100,32,4.5,8
PL5,Dodeka 45° • Fresas de plato,100,32,4.5,11
PL5,Dodeka 45° • Fresas de plato,125,40,4.5,8
PL5,Dodeka 45° • Fresas de plato,125,40,4.5,10
PL5,Dodeka 45° • Fresas de plato,125,40,4.5,14
PL5,Dodeka 45° • Fresas de plato,160,40,4.5,10
PL5,Dodeka 45° • Fresas de plato,160,40,4.5,12
PL5,Dodeka 45° • Fresas de plato,160,40,4.5,16
PL5,Dodeka 45° • Fresas de plato,200,60,4.5,16
PL5,Dodeka 45° • Fresas de plato,250,60,4.5,20
PL5,Dodeka 45° • Fresas de plato,315,60,4.5,24
PL6,Dodeka MAX 45° • Fresas de plato,80,27,8.0,4
PL6,Dodeka MAX 45° • Fresas de plato,100,32,8.0,5
PL6,Dodeka MAX 45° • Fresas de plato,125,40,8.0,6
PL6,Dodeka MAX 45° • Fresas de plato,160,40,8.0,9
PL6,Dodeka MAX 45° • Fresas de plato,200,60,8.0,10
PL6,Dodeka MAX 45° • Fresas de plato,200,60,8.0,12
PL6,Dodeka MAX 45° • Fresas de plato,250,60,8.0,12
PL6,Dodeka MAX 45° • Fresas de plato,250,60,8.0,14
PL6,Dodeka MAX 45° • Fresas de plato,315,60,8.0,14
PL6,Dodeka MAX 45° • Fresas de plato,315,60,8.0,18
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,50,22,5.5,5
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,63,22,5.5,6
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,80,27,5.5,8
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,80,27,5.5,10
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,100,32,5.5,10
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,100,32,5.5,14
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,125,40,5.5,14
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,125,40,5.5,18
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,160,40,5.5,16
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,160,40,5.5,22
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,200,60,5.5,20
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,200,60,5.5,28
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,250,60,5.5,24
PL7,Mill 16 • Fresas de plato • Sujeción de cuña ,250,60,5.5,34
PL7,Mill 16 • Diseño de caja dividida,315,195,5.5,44
PL7,Mill 16 • Diseño de caja dividida,355,230,5.5,48
PL7,Mill 16 • Diseño de caja dividida,400,280,5.5,56
PL7,Mill 16 • Diseño de caja dividida,450,380,5.5,70
PL7,Mill 16 • Fijacion • Screw-On ,50,22,5.5,4
PL7,Mill 16 • Fijacion • Screw-On ,63,22,5.5,5
PL7,Mill 16 • Fijacion • Screw-On ,80,27,5.5,5
PL7,Mill 16 • Fijacion • Screw-On ,80,27,5.5,7
PL7,Mill 16 • Fijacion • Screw-On ,100,32,5.5,6
PL7,Mill 16 • Fijacion • Screw-On ,100,32,5.5,8
PL7,Mill 16 • Fijacion • Screw-On ,125,40,5.5,8
PL7,Mill 16 • Fijacion • Screw-On ,125,40,5.5,10
PL7,Mill 16 • Fijacion • Screw-On ,160,40,5.5,10
PL7,Mill 16 • Fijacion • Screw-On ,160,40,5.5,12
PL7,Mill 16 • Fijacion • Screw-On ,200,60,5.5,10
PL7,Mill 16 • Fijacion • Screw-On ,200,60,5.5,14
PL7,Mill 16 • Fijacion • Screw-On ,250,60,5.5,12
PL7,Mill 16 • Fijacion • Screw-On ,250,60,5.5,16
PL8,KSSM 45° • Fresas de plato  ,40,16,6.6,3
PL8,KSSM 45° • Fresas de plato  ,50,22,6.6,3
PL8,KSSM 45° • Fresas de plato  ,50,22,6.6,4
PL8,KSSM 45° • Fresas de plato  ,63,22,6.6,4
PL8,KSSM 45° • Fresas de plato  ,63,22,6.6,5
PL8,KSSM 45° • Fresas de plato  ,80,27,6.6,5
PL8,KSSM 45° • Fresas de plato  ,80,27,6.6,6
PL8,KSSM 45° • Fresas de plato  ,100,32,6.6,5
PL8,KSSM 45° • Fresas de plato  ,100,32,6.6,7
PL8,KSSM 45° • Fresas de plato  ,125,40,6.6,6
PL8,KSSM 45° • Fresas de plato  ,125,40,6.6,8
PL8,KSSM 45° • Fresas de plato  ,160,40,6.6,7
PL8,KSSM 45° • Fresas de plato  ,160,40,6.6,10
PL9,KSOM Mini • Fresas de mango screw-on  ,32,29,3.5,3
PL9,KSOM Mini • Fresas de mango screw-on  ,40,29,3.5,4
PL9,KSOM Mini • Fresas de mango Weldon,32,20,3.5,2
PL9,KSOM Mini • Fresas de mango Weldon,32,20,3.5,3
PL9,KSOM Mini • Fresas de mango Weldon,32,25,3.5,3
PL9,KSOM Mini • Fresas de mango Weldon,40,25,3.5,3
PL9,KSOM Mini • Fresas de mango Weldon,40,25,3.5,4
PL9,KSOM Mini • Fresas de mango Weldon,40,32,3.5,4
PL9,KSOM Mini • Fresas de mango cilindrico,32,20,3.5,3
PL9,KSOM Mini • Fresas de mango cilindrico,32,32,3.5,3
PL9,KSOM Mini • Fresas de plato,40,16,3.5,4
PL9,KSOM Mini • Fresas de plato,50,22,3.5,4
PL9,KSOM Mini • Fresas de plato,50,22,3.5,6
PL9,KSOM Mini • Fresas de plato,63,22,3.5,5
PL9,KSOM Mini • Fresas de plato,63,22,3.5,7
PL9,KSOM Mini • Fresas de plato,80,27,3.5,6
PL9,KSOM Mini • Fresas de plato,80,27,3.5,9
PL9,KSOM Mini • Fresas de plato,100,32,3.5,7
PL9,KSOM Mini • Fresas de plato,100,32,3.5,10
PL9,KSOM Mini • Fresas de plato,125,40,3.5,8
PL9,KSOM Mini • Fresas de plato,125,40,3.5,12
PL9,KSOM Mini • Fresas de plato,160,40,3.5,10
PL9,KSOM Mini • Fresas de plato,160,40,3.5,16
PL10,KSOM  • Fresas de plato,63,22,5.0,4
PL10,KSOM  • Fresas de plato,63,22,5.0,5
PL10,KSOM  • Fresas de plato,80,27,5.0,4
PL10,KSOM  • Fresas de plato,80,27,5.0,5
PL10,KSOM  • Fresas de plato,100,32,5.0,5
PL10,KSOM  • Fresas de plato,100,32,5.0,8
PL10,KSOM  • Fresas de plato,125,40,5.0,6
PL10,KSOM  • Fresas de plato,125,40,5.0,10
PL10,KSOM  • Fresas de plato,160,40,5.0,7
PL10,KSOM  • Fresas de plato,160,40,5.0,12
PL11,KSSM8+ • IC 10 mm • Fresas de plato,50,22,9.16,5
PL11,KSSM8+ • IC 10 mm • Fresas de plato,50,22,9.16,6
PL11,KSSM8+ • IC 10 mm • Fresas de plato,63,22,9.16,5
