type,Nombre,D1,D,Api_max,z
RA1,KTMS  •  Fresa para ranuras en T con refrigeracion inteior • Sistema metrico,25,25,11.0,4
RA1,KTMS  •  Fresa para ranuras en T con refrigeracion inteior • Sistema metrico,32,32,14.0,4
RA1,KTMS  •  Fresa para ranuras en T con refrigeracion inteior • Sistema metrico,40,32,18.0,4
RA1,KTMS  •  Fresa para ranuras en T con refrigeracion inteior • Sistema metrico,50,32,22.0,4
RA2,"A2 • Ancho de corte 1,6 mm • KVNS ™ A2™",63,16,1.3,5
RA2,"A2 • Ancho de corte 1,6 mm • KVNS ™ A2™",80,16,1.3,7
RA2,"A2 • Ancho de corte 1,6 mm • KVNS ™ A2™",100,22,1.3,9
RA2,"A2 • Ancho de corte 1,6 mm • KVNS ™ A2™",125,32,1.3,11
RA3,"A2 • Ancho de corte 2,2 mm • KVNS ™ A2™",80,16,1.8,7
RA3,"A2 • Ancho de corte 2,2 mm • KVNS ™ A2™",100,22,1.8,9
RA3,"A2 • Ancho de corte 2,2 mm • KVNS ™ A2™",125,32,1.8,11
RA3,"A2 • Ancho de corte 2,2 mm • KVNS ™ A2™",160,40,1.8,14
RA4,A2 • Ancho de corte 3 mm • KVNS ™ A2™,63,16,2.4,4
RA4,A2 • Ancho de corte 3 mm • KVNS ™ A2™,80,16,2.4,6
RA4,A2 • Ancho de corte 3 mm • KVNS ™ A2™,100,22,2.4,9
RA4,A2 • Ancho de corte 3 mm • KVNS ™ A2™,125,32,2.4,11
RA4,A2 • Ancho de corte 3 mm • KVNS ™ A2™,160,40,2.4,14
RA4,A2 • Ancho de corte 3 mm • KVNS ™ A2™,200,40,2.4,19
RA4,A2 • Ancho de corte 3 mm • KVNS ™ A2™,250,40,2.4,24
RA5,A2 • Ancho de corte 4 mm • KVNS ™ A2™,63,16,3.4,4
RA5,A2 • Ancho de corte 4 mm • KVNS ™ A2™,80,16,3.4,6
RA5,A2 • Ancho de corte 4 mm • KVNS ™ A2™,100,22,3.4,9
RA5,A2 • Ancho de corte 4 mm • KVNS ™ A2™,125,32,3.4,11
RA5,A2 • Ancho de corte 4 mm • KVNS ™ A2™,160,40,3.4,14
RA5,A2 • Ancho de corte 4 mm • KVNS ™ A2™,200,40,3.4,19
RA6,SN • Montaje de eje • Corte de cara completa,80,27,12.0,10
RA6,SN • Montaje de eje • Corte de cara completa,100,27,12.0,12
RA6,SN • Montaje de eje • Corte de cara completa,100,27,12.0,12
RA6,SN • Montaje de eje • Corte de cara completa,100,27,12.0,10
RA6,SN • Montaje de eje • Corte de cara completa,125,40,12.0,14
RA6,SN • Montaje de eje • Corte de cara completa,125,40,12.0,14
RA6,SN • Montaje de eje • Corte de cara completa,125,40,12.0,12
RA6,SN • Montaje de eje • Corte de cara completa,125,40,12.0,12
RA6,SN • Montaje de eje • Corte de cara completa,160,40,12.0,18
RA6,SN • Montaje de eje • Corte de cara completa,160,40,12.0,18
RA6,SN • Montaje de eje • Corte de cara completa,160,40,12.0,16
RA6,SN • Montaje de eje • Corte de cara completa,200,50,12.0,18
RA6,SN • Montaje de eje • Corte de cara completa,250,50,12.0,24
RA6,SN • Montaje de eje • Corte de cara completa,250,50,12.0,24
RA7,LN • Montaje de eje • Corte de cara completa,80,27,12.0,8
RA7,LN • Montaje de eje • Corte de cara completa,80,27,12.0,8
RA7,LN • Montaje de eje • Corte de cara completa,100,32,12.0,10
RA7,LN • Montaje de eje • Corte de cara completa,100,32,12.0,10
RA7,LN • Montaje de eje • Corte de cara completa,125,40,12.0,12
RA7,LN • Montaje de eje • Corte de cara completa,160,40,12.0,16
RA7,LN • Montaje de eje • Corte de cara completa,160,40,12.0,15
RA7,LN • Montaje de eje • Corte de cara completa,160,40,12.0,15
RA7,LN • Montaje de eje • Corte de cara completa,200,50,12.0,18
RA8,LN • Montaje de plato • Corte de cara completa,80,22,50.0,8
RA8,LN • Montaje de plato • Corte de cara completa,80,22,50.0,8
RA8,LN • Montaje de plato • Corte de cara completa,100,27,50.0,10
RA8,LN • Montaje de plato • Corte de cara completa,100,27,50.0,10
RA8,LN • Montaje de plato • Corte de cara completa,125,40,50.0,12
RA8,LN • Montaje de plato • Corte de cara completa,160,40,50.0,16
RA8,LN • Montaje de plato • Corte de cara completa,160,40,50.0,15
RA9,Montaje de eje  • IC  10 mm  • A derechas,100,32,9.1,10
RA9,Montaje de eje  • IC  10 mm  • A derechas,125,40,9.1,11
RA9,Montaje de eje  • IC  10 mm  • A derechas,160,40,9.1,11
RA9,Montaje de eje  • IC  10 mm  • A derechas,200,50,9.1,13
RA10,Montaje de eje  • IC  10 mm  • A izquierdas,160,40,9.1,11
RA10,Montaje de eje  • IC  10 mm  • A izquierdas,200,50,9.1,13
RA11,Montaje de eje  • IC  10 mm  • Neutro (ranurado completo),100,32,15.83,10
